name,id
'Flavobacterium' lutescens,255
Empedobacter lutescens,255
[Flavobacterium] lutescens,255
'Flavobacterium lutescens',255
Flavobacterium lutescens,255
Abiotrophia defectiva,46125
Abiotrophia defectiva (Bouvet et al. 1989) Kawamura et al. 1995,46125
ATCC 49176,46125
CCUG 27639,46125
CCUG 27804,46125
CIP 103242,46125
DSM 9849,46125
LMG 14740,46125
LMG:14740,46125
strain SC10,46125
Streptococcus defectivus Bouvet et al. 1989,46125
Streptococcus defectivus,46125
Abiotrophia defectiva ATCC 49176,592010
Abiotrophia defectiva strain ATCC 49176,592010
Abiotrophia defectiva str. ATCC 49176,592010
Abiotrophia para-adiacens,191553
"""Abiotrophia para-adiacens"" Kanamoto et al. 2000",191553
Acaryochloris marina,155978
Acaryochloris marina Miyashita and Chihara 2003,155978
MBIC 11017,155978
Acaryochloris marina CRS,1305589
Acaryochloris marina MBIC11017,329726
Acetivibrio cellulolyticus,35830
Acetivibrio cellulolyticus Patel et al. 1980,35830
Acetivibrio cellulosilyticus,35830
Acetivibrio cellulosisolvens,35830
Acetivibrio cellulosolvens Khan et al. 1984,35830
Acetivibrio cellulosolvens,35830
Acetivibrio sp. HL-2,35830
ATCC 33288,35830
DSM 1870,35830
Hungateiclostridium cellulolyticum,35830
Hungateiclostridium cellulolyticum Zhang et al. 2018,35830
LMG 8466,35830
LMG:8466,35830
NRC 2248,35830
strain CD2,35830
Acetivibrio cellulolyticus ATCC 33288,509191
Acetivibrio cellulolyticus CD2,509191
Acetivibrio cellulolyticus DSM 1870,509191
Hungateiclostridium cellulolyticum CD2,509191
Acetobacter aceti,435
"""Acetimonas aceti"" (Pasteur 1864) Orla-Jensen 1909",435
Acetimonas aceti,435
Acetobacter aceti aceti,435
Acetobacter aceti orleanensis,435
Acetobacter aceti (Pasteur 1864) Beijerinck 1898 (Approved Lists 1980),435
Acetobacter aceti subsp. aceti (Pasteur 1864) Beijerinck 1898,435
Acetobacter aceti subsp. aceti (Pasteur 1864) De Ley and Frateur 1974,435
